"","lsoacode","z"
"268","E01000272",-3.75569328796711
"269","E01000273",0.450948407359719
"270","E01000274",0.824586073219335
"271","E01000275",-0.508947184643096
"272","E01000276",-3.40683096540525
"273","E01000277",4.89618682029314
"274","E01000278",-2.84954008094976
"275","E01000279",-3.76248278922774
"276","E01000280",-3.60155266755066
"277","E01000281",2.90875877542486
"278","E01000282",-1.52651081543356
"279","E01000283",-3.24287957852321
"280","E01000284",1.75793703738547
"281","E01000285",-0.695949994632828
"282","E01000286",2.07816601594976
"283","E01000287",1.45973420921066
"284","E01000288",-0.790210661436319
"285","E01000289",5.6543360990899
"286","E01000290",-0.840277148635953
"287","E01000291",4.74747473966905
"288","E01000292",-0.842239516625494
"289","E01000293",-1.99226206842514
"290","E01000294",0.946761209672575
"291","E01000295",0.875433415127964
"292","E01000296",2.63424319746601
"293","E01000297",2.13512297622476
"294","E01000298",2.50865595202693
"295","E01000299",3.77637604386976
"296","E01000300",0.300139690849803
"297","E01000301",-1.36951155143526
"298","E01000302",3.75911573695582
"299","E01000303",-0.797245287779553
"300","E01000304",2.18374384993137
"301","E01000305",6.52230046541163
"302","E01000306",3.43754634295781
"303","E01000307",4.04438046334687
"304","E01000308",7.918747601205
"305","E01000309",1.73535886873319
"306","E01000310",5.66217845589833
"307","E01000311",-0.28235944639396
"308","E01000312",5.45778016733173
"309","E01000313",5.95064236134263
"310","E01000314",2.82883609803433
"311","E01000315",3.61830231782197
"312","E01000316",3.45501013461078
"313","E01000317",1.46934871821128
"314","E01000318",-0.117422614431689
"315","E01000319",-0.252493412339216
"316","E01000320",-0.365044952760605
"317","E01000321",1.87500198869916
"318","E01000322",1.62419359638103
"319","E01000323",3.5453253019283
"320","E01000324",-0.101155641547344
"321","E01000325",-3.18127463201858
"322","E01000326",-2.69836225942769
"323","E01000327",-2.89157067483721
"324","E01000328",-2.33482157835869
"325","E01000329",-0.570765307550951
"326","E01000330",0.0157720167946263
"327","E01000331",0.0689605195227594
"328","E01000332",-1.32328131872099
"329","E01000333",0.936329105748949
"330","E01000334",-1.62541187553903
"331","E01000335",3.49238536098539
"332","E01000336",4.57819719558298
"333","E01000337",0.757524697605615
"334","E01000338",0.206420763903333
"335","E01000339",-1.53189878031613
"336","E01000340",-2.96426972345804
"337","E01000341",-3.15645295445492
"338","E01000342",-2.5989712180726
"339","E01000343",-2.41842238537292
"340","E01000344",-2.46868430112988
"341","E01000345",-3.80520822987069
"342","E01000346",-3.13134606143235
"343","E01000347",-2.06234016708467
"344","E01000348",-3.82437030874066
"345","E01000349",-3.28081663223502
"346","E01000350",-2.61336063122495
"347","E01000351",-3.33402490507512
"348","E01000352",-1.87622883783705
"349","E01000353",-3.85381733196388
"350","E01000354",-0.889702968297287
"351","E01000355",-3.34073776780739
"352","E01000356",-2.95122383286676
"353","E01000357",-3.24975430083511
"354","E01000358",-2.90824453857553
"355","E01000359",-3.11785641455619
"356","E01000360",-0.372823915888824
"357","E01000361",-2.02730728924689
"358","E01000362",-1.94224854474931
"359","E01000363",-2.96289861930427
"360","E01000364",-2.53932901880769
"361","E01000365",-0.712360125807816
"362","E01000366",-1.76587534588
"363","E01000367",2.28309457921263
"364","E01000368",0.888972126810917
"365","E01000369",-1.86357421546432
"366","E01000370",-2.40053729238781
"367","E01000371",-2.72417435127459
"368","E01000372",1.88920746100519
"369","E01000373",8.04446268678703
"370","E01000374",2.27863105920988
"371","E01000375",-0.135031006466853
"372","E01000376",-1.58402105524286
"373","E01000377",-2.17021563575031
"374","E01000378",-0.184993720223894
"375","E01000379",-0.443525442908507
"376","E01000380",1.37114178578168
"377","E01000381",-0.460719907154905
"378","E01000382",-3.0393962585555
"379","E01000383",-2.05021408382058
"380","E01000384",-0.567812904385831
"381","E01000385",2.46189091902272
"382","E01000386",3.72850164481576
"383","E01000387",-2.68212626680647
"384","E01000388",-3.06926474726452
"385","E01000389",-1.63201259496518
"386","E01000390",-2.48214282449272
"387","E01000391",-2.09494558209417
"388","E01000392",3.11546043357725
"389","E01000393",-1.71708485877515
"390","E01000394",-2.19127188555143
