"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"33","E06000033",1211039,"Southend-on-Sea",74678,73354,1324,1.77,1211039,74678,48666,26012,34.83
"34","E06000034",1211040,"Thurrock",62353,60793,1560,2.5,1211040,62353,41278,21075,33.8
"35","E06000035",1211041,"Medway",106209,104459,1750,1.65,1211041,106209,71853,34356,32.35
"36","E06000036",1211042,"Bracknell Forest",45878,45320,558,1.22,1211042,45878,31419,14459,31.52
"37","E06000037",1211043,"West Berkshire",62340,61749,591,0.95,1211043,62340,43435,18905,30.33
"38","E06000038",1211044,"Reading",62869,60830,2039,3.24,1211044,62869,34479,28390,45.16
"39","E06000039",1211045,"Slough",50766,46847,3919,7.72,1211045,50766,26755,24011,47.3
"40","E06000040",1211046,"Windsor and Maidenhead",58349,57469,880,1.51,1211046,58349,39676,18673,32
"41","E06000041",1211047,"Wokingham",60332,59792,540,0.9,1211047,60332,48103,12229,20.27
"42","E06000042",1211048,"Milton Keynes",98584,95962,2622,2.66,1211048,98584,56913,41671,42.27
"43","E06000043",1211049,"Brighton and Hove",121540,119122,2418,1.99,1211049,121540,64790,56750,46.69
"44","E06000044",1211050,"Portsmouth",85473,83840,1633,1.91,1211050,85473,46897,38576,45.13
"45","E06000045",1211051,"Southampton",98254,95528,2726,2.77,1211051,98254,48873,49381,50.26
"46","E06000046",1211052,"Isle of Wight",61085,60501,584,0.96,1211052,61085,42817,18268,29.91
"47","E06000047",1211053,"County Durham",223803,222121,1682,0.75,1211053,223803,147347,76456,34.16
"48","E06000048",1211054,"Northumberland",138534,137549,985,0.71,1211054,138534,91207,47327,34.16
"49","E06000049",1211055,"Cheshire East",159441,158315,1126,0.71,1211055,159441,118766,40675,25.51
"50","E06000050",1211056,"Cheshire West and Chester",141442,140327,1115,0.79,1211056,141442,100105,41337,29.23
"51","E06000051",1211057,"Shropshire",129674,128641,1033,0.8,1211057,129674,89688,39986,30.84
"52","E06000052",1211058,"Cornwall",230389,227802,2587,1.12,1211058,230389,158524,71865,31.19
"53","E06000053",1211059,"Isles of Scilly",989,975,14,1.42,1211059,989,412,577,58.34
"54","E06000054",1211060,"Wiltshire",194194,192384,1810,0.93,1211060,194194,131083,63111,32.5
"55","E06000055",1211061,"Bedford",63812,62525,1287,2.02,1211061,63812,41937,21875,34.28
"56","E06000056",1211062,"Central Bedfordshire",104399,103442,957,0.92,1211062,104399,75743,28656,27.45
"57","E07000004",1211063,"Aylesbury Vale",69406,68247,1159,1.67,1211063,69406,49702,19704,28.39
"58","E07000005",1211064,"Chiltern",36946,36578,368,1,1211064,36946,28418,8528,23.08
