"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"274","E08000017",1211280,"Doncaster",126487,124737,1750,1.38,1211280,126487,82760,43727,34.57
"275","E08000018",1211281,"Rotherham",108293,106782,1511,1.4,1211281,108293,70610,37683,34.8
"276","E08000019",1211282,"Sheffield",229928,224788,5140,2.24,1211282,229928,134127,95801,41.67
"277","E08000020",1211283,"Gateshead",89154,88136,1018,1.14,1211283,89154,51915,37239,41.77
"278","E08000021",1211284,"Newcastle upon Tyne",117153,115183,1970,1.68,1211284,117153,57955,59198,50.53
"279","E08000022",1211285,"North Tyneside",91295,90708,587,0.64,1211285,91295,59136,32159,35.23
"280","E08000023",1211286,"South Tyneside",67167,66553,614,0.91,1211286,67167,38333,28834,42.93
"281","E08000024",1211287,"Sunderland",119758,118402,1356,1.13,1211287,119758,71566,48192,40.24
"282","E08000025",1211288,"Birmingham",410736,393740,16996,4.14,1211288,410736,226616,184120,44.83
"283","E08000026",1211289,"Coventry",128592,125584,3008,2.34,1211289,128592,77880,50712,39.44
"284","E08000027",1211290,"Dudley",129867,127919,1948,1.5,1211290,129867,89304,40563,31.23
"285","E08000028",1211291,"Sandwell",121498,117868,3630,2.99,1211291,121498,69135,52363,43.1
"286","E08000029",1211292,"Solihull",86056,85321,735,0.85,1211292,86056,63559,22497,26.14
"287","E08000030",1211293,"Walsall",107822,105325,2497,2.32,1211293,107822,67265,40557,37.61
"288","E08000031",1211294,"Wolverhampton",102177,100018,2159,2.11,1211294,102177,57812,44365,43.42
"289","E08000032",1211295,"Bradford",199296,191811,7485,3.76,1211295,199296,129550,69746,35
"290","E08000033",1211296,"Calderdale",88621,87309,1312,1.48,1211296,88621,58981,29640,33.45
"291","E08000034",1211297,"Kirklees",173525,169448,4077,2.35,1211297,173525,116361,57164,32.94
"292","E08000035",1211298,"Leeds",320596,315101,5495,1.71,1211298,320596,186467,134129,41.84
"293","E08000036",1211299,"Wakefield",140414,138742,1672,1.19,1211299,140414,89291,51123,36.41
"294","E09000001",1211300,"City of London",4385,4253,132,3.01,1211300,4385,1855,2530,57.7
"295","E09000002",1211301,"Barking and Dagenham",69681,64519,5162,7.41,1211301,69681,32324,37357,53.61
"296","E09000003",1211302,"Barnet",135916,128761,7155,5.26,1211302,135916,78350,57566,42.35
"297","E09000004",1211303,"Bexley",92604,90653,1951,2.11,1211303,92604,67154,25450,27.48
"298","E09000005",1211304,"Brent",110286,98357,11929,10.82,1211304,110286,47324,62962,57.09
"299","E09000006",1211305,"Bromley",130862,128883,1979,1.51,1211305,130862,92785,38077,29.1
"300","E09000007",1211306,"Camden",97534,91878,5656,5.8,1211306,97534,31368,66166,67.84
"301","E09000008",1211307,"Croydon",145010,138661,6349,4.38,1211307,145010,85230,59780,41.22
"302","E09000009",1211308,"Ealing",124082,114227,9855,7.94,1211308,124082,63420,60662,48.89
"303","E09000010",1211309,"Enfield",119916,113095,6821,5.69,1211309,119916,69462,50454,42.07
"304","E09000011",1211310,"Greenwich",101045,95272,5773,5.71,1211310,101045,43719,57326,56.73
"305","E09000012",1211311,"Hackney",101690,93696,7994,7.86,1211311,101690,24179,77511,76.22
"306","E09000013",1211312,"Hammersmith and Fulham",80590,76253,4337,5.38,1211312,80590,27397,53193,66
"307","E09000014",1211313,"Haringey",101955,94023,7932,7.78,1211313,101955,39603,62352,61.16
"308","E09000015",1211314,"Harrow",84268,79035,5233,6.21,1211314,84268,55001,29267,34.73
"309","E09000016",1211315,"Havering",97199,95507,1692,1.74,1211315,97199,71698,25501,26.24
"310","E09000017",1211316,"Hillingdon",100214,94899,5315,5.3,1211316,100214,63011,37203,37.12
"311","E09000018",1211317,"Hounslow",94902,87939,6963,7.34,1211317,94902,47562,47340,49.88
"312","E09000019",1211318,"Islington",93556,89217,4339,4.64,1211318,93556,26564,66992,71.61
"313","E09000020",1211319,"Kensington and Chelsea",78536,75417,3119,3.97,1211319,78536,28007,50529,64.34
"314","E09000021",1211320,"Kingston upon Thames",63639,61952,1687,2.65,1211320,63639,40762,22877,35.95
"315","E09000022",1211321,"Lambeth",130017,122806,7211,5.55,1211321,130017,42885,87132,67.02
"316","E09000023",1211322,"Lewisham",116091,109585,6506,5.6,1211322,116091,49228,66863,57.6
"317","E09000024",1211323,"Merton",78757,75263,3494,4.44,1211323,78757,46689,32068,40.72
"318","E09000025",1211324,"Newham",101519,86305,15214,14.99,1211324,101519,33822,67697,66.68
"319","E09000026",1211325,"Redbridge",99105,92946,6159,6.21,1211325,99105,62983,36122,36.45
"320","E09000027",1211326,"Richmond upon Thames",79835,78612,1223,1.53,1211326,79835,50750,29085,36.43
"321","E09000028",1211327,"Southwark",120422,111879,8543,7.09,1211327,120422,35330,85092,70.66
"322","E09000029",1211328,"Sutton",78174,76360,1814,2.32,1211328,78174,53152,25022,32.01
"323","E09000030",1211329,"Tower Hamlets",101257,90681,10576,10.44,1211329,101257,24552,76705,75.75
"324","E09000031",1211330,"Waltham Forest",96861,88846,8015,8.27,1211330,96861,48361,48500,50.07
"325","E09000032",1211331,"Wandsworth",130493,125515,4978,3.81,1211331,130493,59393,71100,54.49
"326","E09000033",1211332,"Westminster",105772,100097,5675,5.37,1211332,105772,32287,73485,69.47
"327","W06000001",1239984,"Isle of Anglesey",30594,30351,243,0.79,1239984,30594,20971,9623,31.45
"328","W06000002",1239985,"Gwynedd",52473,51909,564,1.07,1239985,52473,34324,18149,34.59
"329","W06000003",1239986,"Conwy",51177,50738,439,0.86,1239986,51177,35501,15676,30.63
"330","W06000004",1239987,"Denbighshire",40546,40155,391,0.96,1239987,40546,27792,12754,31.46
"331","W06000005",1239988,"Flintshire",63781,63154,627,0.98,1239988,63781,46451,17330,27.17
"332","W06000006",1239989,"Wrexham",57029,56343,686,1.2,1239989,57029,36272,20757,36.4
"333","W06000008",1239990,"Ceredigion",31562,31251,311,0.99,1239990,31562,21323,10239,32.44
"334","W06000009",1239991,"Pembrokeshire",53122,52610,512,0.96,1239991,53122,36558,16564,31.18
"335","W06000010",1239992,"Carmarthenshire",78829,78176,653,0.83,1239992,78829,56326,22503,28.55
"336","W06000011",1239993,"Swansea",103497,102396,1101,1.06,1239993,103497,66259,37238,35.98
"337","W06000012",1239994,"Neath Port Talbot",60393,59955,438,0.73,1239994,60393,41479,18914,31.32
"338","W06000013",1239995,"Bridgend",58515,58082,433,0.74,1239995,58515,42348,16167,27.63
"339","W06000014",1239996,"The Vale of Glamorgan",53505,53102,403,0.75,1239996,53505,38647,14858,27.77
"340","W06000015",1239997,"Cardiff",142557,139971,2586,1.81,1239997,142557,84262,58295,40.89
"341","W06000016",1239998,"Rhondda Cynon Taf",99663,98695,968,0.97,1239998,99663,70760,28903,29
"342","W06000018",1239999,"Caerphilly",74479,73669,810,1.09,1239999,74479,51632,22847,30.68
"343","W06000019",1240000,"Blaenau Gwent",30416,30029,387,1.27,1240000,30416,18884,11532,37.91
"344","W06000020",1240001,"Torfaen",38524,38103,421,1.09,1240001,38524,25518,13006,33.76
"345","W06000021",1240002,"Monmouthshire",38233,37928,305,0.8,1240002,38233,28142,10091,26.39
"346","W06000022",1240003,"Newport",61172,60234,938,1.53,1240003,61172,39272,21900,35.8
"347","W06000023",1240004,"Powys",58345,57913,432,0.74,1240004,58345,40090,18255,31.29
"348","W06000024",1240005,"Merthyr Tydfil",24264,23948,316,1.3,1240005,24264,15843,8421,34.71
